Company Name,Sector,Stage,Amount,Location,Funding Year,Founded,Investor
Xpressbees,E-commerce,,100000000.0,Pune,2020,2015.0,"Alibaba Group, InnoVen Capital"
GalaxyCard,FinTech,Seed,,Gurugram,2020,2017.0,India Accelerator
Wellness Forever,HealthTech,,100000000.0,Mumbai,2020,2008.0,"Poonawalla, Allana Group"
MoooFarm,AgriTech,Pre-seed,500000.0,Gurugram,2020,2019.0,"Navus Ventures, Rockstart"
BitClass,PaaS startup,Seed,2000000.0,Bangalore,2020,2020.0,"AET Japan, Figure Eight Investments, Waterbridge Ventures"
Gonuts,Entertainment,Seed,400000.0,Mumbai,2020,2020.0,"Sweta Rau, Archana Priyadarshini"
Uolo,EdTech,Seed,2000000.0,Bangalore,2020,2013.0,"Rajul Garg, Purvi Capital"
Kirana King,Retail,Pre-series A,900000.0,"Jaipur, Rajastan",2020,2014.0,Rajasthan Venture Capital Fund
Jade Forest,Beverages,Seed,250000.0,Delhi,2020,,
iKure,HealthTech,,,Kolkata,2020,2010.0,"Ratan Tata, Inflection Point Ventures, Ankur Mittal"
FrontRow,EdTech,Seed,3200000.0,Bangalore,2020,,"Lightspeed, Elevation, Deepika Padukone"
Reliance Retail,E-commerce,,10000000.0,Mumbai,2020,2006.0,"Abu Dhabi Investment Authority, GIC"
TUBBR,Social Media,,,"Frisco, Texas, United States",2020,2019.0,Global Ascent Partners
Ather Energy,Automobiles,Series D,35000000.0,Bangalore,2020,2013.0,HeroMotoCorp Ltd and Sachin Bansal
Routematic,SaaS startup,,2000000.0,Bangalore,2020,2007.0,"VAMM Ventures, Naresh Malhotra"
LivFin,FinTech,,4700000.0,New Delhi,2020,2017.0,"DEG, KFW DEG"
Universal Sportsbiz Pvt Ltd,Fashion startup,,,Bangalore,2020,2012.0,"Accel, Alteria Capital"
Lattu Kids,EdTech,,,Mumbai,2020,2017.0,Mumbai Angels Network
Eggoz,Food & Bevarages,Pre-series A,1500000.0,Indore,2020,2016.0,"AVANA Capital, Rebright Partners"
Steradian Semiconductors,Deeptech,,,Bangalore,2020,2016.0,Endiya Partners.
CHARGE+ZONE,EV startup,Pre-series A,3000000.0,Gujarat,2020,2018.0,Mumbai Angels
Stones2milestones,EdTech,Bridge,2000000.0,Gurugram,2020,2008.0,"Menterra Venture Advisors, Emandi Sankara Rao"
Udacity,EdTech,Debt,75000000.0,California,2020,2011.0,"Hercules Capital, Inc.Bertelsmann"
AjnaLens,AR/VR startup,Bridge,1000000.0,Thane,2020,2014.0,"Mohsin Hani Al Bahrani, MoD"
Gully Network,E-commerce,Pre-series A,1200000.0,Bangalore,2020,2019.0,"CP Ventures, Orios Venture Partners"
TurboHire,Recruitment startup,Seed,1000000.0,Hyderabad,2020,2018.0,"Kia Ora Ventures, Pentathlon Ventures"
Traya,HealthTech,Seed,,Mumbai,2020,,"Kae Capital, Whiteboard Capital"
Charcoal Eats,QSR startup,,2000000.0,Mumbai,2020,2015.0,Lokmat Investments
Mitron TV,Video platform,,,Bangalore,2020,2020.0,9Unicorns
Svami,Food & Bevarages,,800000.0,Mumbai,2020,2016.0,"Niren Shah, Rukam Capital Trust"
Dhurnia,EdTech,,100000.0,"Dhingsara, Haryana",2020,2018.0,"Chandigarh Angels Network, Modulor Capital"
Expertrons,EdTech,,,Mumbai,2020,2019.0,"Rohit Chanana, Sukanta Ganguly"
Leena AI,AI startup,,8000000.0,"New York, United States",2020,2015.0,"Alan Patricof, Jim Moffatt"
Bizlog,Logistics,,1000000.0,Bangalore,2020,2016.0,IAN Fund
Tamasha.live,Gaming,,300000.0,Mumbai,2020,2020.0,"9Unicorns, Titan Capital, FirstCheque"
Fedo,AI startup,,1000000.0,Bangalore,2020,2017.0,AIM Smart City
FabHotels,Hospitality,,1000000.0,Gurugram,2020,2015.0,"RB Investments Pte. Ltd, Goldman Sachs"
Freshokartz,AgriTech,Pre-series A,1000000.0,"Jaipur, Rajastan",2020,2016.0,"Rajasthan Venture Capital Fund, Innovana Thinklabs"
FlexiLoans,FinTech,Debt,6000000.0,Mumbai,2020,2016.0,>Vikram Sud
Agrix,AgriTech,,,Patna,2020,2020.0,Maple Capital Advisors
BharatAgri,AgriTech,Pre-series A,,Pune,2020,2017.0,"021 Capital, India Quotient"
FreshtoHome,E-commerce,Series C,121000000.0,Bangalore,2020,2015.0,"Ascent Capital, Iron Pillar"
Credable,FinTech,,4500000.0,Mumbai,2020,2017.0,Oaks Asset Management
Railofy,Transportation,Seed,5000000.0,Mumbai,2020,2019.0,"Roots Ventures, Better Capital"
Finova Capital,FinTech,,55000000.0,"Jaipur, Rajastan",2020,2016.0,"Sequoia Capital India, Faering Capital"
Teachmint,Edtech,Seed,3500000.0,Bangalore,2020,2020.0,Lightspeed India
Peel-Works,E-commerce,,3000000.0,Mumbai,2020,2010.0,"CESC Ventures, Brun Raschle"
Janani,Fertility tech,Pre-seed,200000.0,Bangalore,2020,2020.0,9Unicorns
Credgenics,FinTech,Seed,3300000.0,Gurugram,2020,2018.0,"Accel, Sunder Nookala"
Finelistings,Luxury car startup,,,New Delhi,2020,2015.0,Justdial
Wellversed,Healthcare,Pre-series A,,New Delhi,2020,2018.0,"KLUB Works, Shankar Narayanan"
Jumbotail,E-commerce,Series B2,11000000.0,Bangalore,2020,2015.0,Nexus Venture Partners and 23 High Networth Individuals (HNIs)
Winzo,Gaming startup,,2000000.0,New Delhi,2020,2018.0,"Makers Fund, Courtside Ventures"
mCaffeine,Cosmetics,Series B,5000000.0,Mumbai,2020,2015.0,"RPSG Ventures, Amicus Capital"
Pocket FM,FM,Series A,5000000.0,Bangalore,2020,2018.0,"Times Group, Lightspeed"
Snackible,Healthcare,Bridge,,Mumbai,2020,2015.0,"Mumbai Angels, Murali Nair"
FreshtoHome,E-commerce,,16000000.0,Bangalore,2020,2015.0,"Ascent Capital, Iron Pillar"
Jumbotail,Retail,Series B2,11000000.0,Bangalore,2020,2015.0,"Nexus Venture Partners, Capria Ventures"
Nykaa,E-commerce,,,Mumbai,2020,2012.0,"Katrina Kaif, Steadview Capital"
TagZ Foods,Food,,,Bangalore,2020,2019.0,"Exfinity Venture Partners, Shesh Kondi"
Genius Teacher,Edtech,,2000000.0,Mumbai,2020,2016.0,"Sandeep Tandon, Daniel Lapus"
Genius Teacher,Edtech,,2000000.0,Mumbai,2020,2016.0,"Whiteboard Capital, VKG Ventures LLP."
Krimanshi Feeds,Nutrition sector,,500000.0,Jodhpur,2020,2015.0,"Rajasthan Venture Capital Fund, AIM Smart City"
Origo,AgriTech,Debt,4000000.0,Gurugram,2020,2010.0,Northern Arc Capital
GetVantage,FinTech,Seed,5000000.0,Mumbai,2020,2019.0,"Samyakth Capital, Venture Catalysts"
Betterplace,Tech platform,Series B,10000000.0,Bangalore,2020,2015.0,Jungle Ventures
Biddano,Healthcare,Pre-series A,600000.0,Mumbai,2020,2016.0,Windrose Capital
InVideo,Video,Series A,15000000.0,Mumbai,2020,2017.0,"Base Partners, Sequoia Capital India"
Arzooo,Retail Tech,Series A,7500000.0,Bangalore,2020,2016.0,"3Lines, Jabbar Internet Group"
Hubilo,Tech company,Seed,4500000.0,"San Francisco, California, United States",2020,2020.0,"Nishant Rao, Jonathan Boutelle"
BASIC Home Loan,FinTech,Seed,5000000.0,Gurugram,2020,2020.0,Picus Capital
Ketos,AI startup,,18000000.0,"San Francisco, United States",2020,2015.0,"Citi Ventures, Illuminated Funds Group"
SUGAR cosmetics,Cosmetics,Debt,2000000.0,Mumbai,2020,2012.0,"A91 Partners, RB Investments Pte. Ltd"
Signzy,FinTech,,5400000.0,Bangalore,2020,2015.0,"GenNext Ventures, Contrarian Drishti Partners"
Ahaguru,Edtech,Series A,,Chennai,2020,2012.0,Anand Mahindra
Tekion,AI startup,Series C,150000000.0,"San Ramon, California",2020,2016.0,"Alliance Ventures, Storm Ventures"
Brighteye Ventures,Edtech,,5400000.0,"Paris, Ile-de-France, France",2020,2017.0,Tandem
EzeRx,Medtech,Seed,200000.0,Kolkata,2020,2018.0,"Indian Oil Corporation, Krishna Chakravarty"
VitalTech,HeathTech,Seed,3000000.0,"Plano, Texas, United States",2020,2018.0,Tech Mahindra
Ultraviolette Automotive,Automobiles,Series B,4000000.0,Bangalore,2020,2014.0,TVS Motor Company
Tring,Social Media,,,Mumbai,2020,2019.0,"Sujeet Kumar, Hemesh Singh"
Rare Planet,Retail startup,Pre-series A,400000.0,Kolkata,2020,2015.0,Venture Catalysts
GoodGamer,Gaming,Seed,2500000.0,Bangalore,2020,2020.0,
InnAccel,Medtech,Pre-series A,1500000.0,Bangalore,2020,2012.0,Mount Judi Ventures
Tiliter,Retail,,7500000.0,Sydney,2020,2017.0,"AngelList, Investec"
Slintel,Sles and marketing,,4200000.0,"San Francisco Bay Area, Silicon Valley, West Coast",2020,2016.0,"Accel, Stellaris Venture Partners"
SoOLEGAL,LegalTech,,4000000.0,New Delhi,2020,2015.0,
HobSpace,Edtech,Seed,200000.0,Mumbai,2020,2019.0,Artha Venture
Supplynote,SaaS startup,Seed,500000.0,Noida,2020,2015.0,"MOX, SOSV"
Hire Me Car,Car Service,Seed,,Noida,2020,,
ShopUp,E-commerce,Series A,22000000.0,Bangaldesh,2020,2017.0,"Flourish Ventures, Lonsdale Capital"
Harmonizer India,Tech Startup,,,Bangalore,2020,2019.0,Kapil Dev
Zomato,FoodTech,,52000000.0,Gurugram,2020,2008.0,"Kora, Tiger Global Management"
Dukaan,Tech Startup,Seed,6000000.0,Mumbai,2020,2020.0,"Lightspeed, Matrix Partners."
CredR,Bike marketplace,,2000000.0,Mumbai,2020,2014.0,"Eight Roads Ventures, On Mauritius"
Satyukt,Agri tech,Seed,500000.0,Bangalore,2020,2018.0,"NABVENTURES, Social Alpha (India)"
RACEnergy,Automobiles,,,Hyderabad,2020,2018.0,"growX Ventures, Huddle (Incubator)"
TREAD,Fitness startup,Pre-seed,1100000.0,Bangalore,2020,2020.0,"Better Capital, Kunal Shah, Gaurav Munjal"
Anveshan,FoodTech,Pre-seed,100000.0,Bangalore,2020,2019.0,Titan Capital
TeaMonk,Food & Bevarages,Pre-series A,900000.0,Bangalore,2020,2016.0,"Lead Angels Network, Roots Ventures"
Fleetx,Tech Startup,Pre-series B,3000000.0,Gurugram,2020,2017.0,"Rohit Bansal, Rohan Ranavat"
ReNEWate,Real Estate,Pre-seed,,Pune,2020,2018.0,Real Estate Accelerator Program
Tango Eye,SaaS startup,Seed,,Chennai,2020,2018.0,"Riso Investments, Lenskart"
Rare Planet,Reatil startup,Pre-series A,,Kolkata,2020,2015.0,Venture Catalysts
Avataa Me,AR platform,Series A,7000000.0,Bangalore,2020,2014.0,Sequoia Capital India
Arrival,EV startup,,118000000.0,"London, England, United Kingdom",2020,2015.0,"UPS Ventures, Hyundai Motor Company"
Cover Genius,FinTech,,15000000.0,"Sydney, New South Wales, Australia",2020,2014.0,"King River Capital, Leap Capital"
Phononic Vibes,Deeptech,,2300000.0,"Milano, Lombardia, Italy",2020,2018.0,
MikeLegal,LegalTech,Seed,,Gurugram,2020,2017.0,"SOSV, Artesian"
Clair,FinTech,Seed,4500000.0,"New York, United States",2020,2019.0,"Upfront Ventures, Walkabout Ventures"
Gourmet Garden,Consumer Goods,,,"Palmwoods, Queensland, Australia",2020,1999.0,Advent Partners
Miko,AI startup,Pre-series B,3000000.0,Mumbai,2020,2015.0,"Stride Ventures, YourNest Venture Capital"
Razorpay,FinTech,Series D,100000000.0,Bangalore,2020,2014.0,"Tiger Global Management, Sequoia Capital India"
Ninjacart,Food Industry,,30000000.0,Bangalore,2020,2015.0,"Syngenta Ventures, Walmart"
Wow! Momo,Food Industry,Debt,5000000.0,Kolkata,2020,2008.0,"Tiger Global Management, William Bissell"
Pepper Content,Content marketplace,Series A,4200000.0,Mumbai,2020,2017.0,"Alok Mittal, Manan Maheshwari"
LIVSPACE,Interior Design,Debt,4000000.0,Bangalore,2020,2014.0,"Mercer Investments, Bessemer Venture Partners"
Acculi Labs,Healthcare,Seed,600000.0,Bangalore,2020,2017.0,Startup Basket.
Your MD,Healthcare,,25000000.0,"London, England, United Kingdom",2020,2012.0,"Orkla Ventures, Smedvig Capital"
Antaios,Tech company,,11000000.0,France,2020,2016.0,
Unnati,AgriTech,Pre-series A,1700000.0,Noida,2020,2017.0,NABVENTURES
Disprz,Edtech,Pre-series B,1600000.0,Chennai,2020,2015.0,"Xseed Partners, InnoVen Capital"
Uni,FinTech,Seed,18500000.0,Mumbai,2020,,"Lightspeed India Partners, Accel India"
Credit Wise Capital,FinTech,Seed,6000000.0,Mumbai,2020,1994.0,Venture Catalysts
Chargebee,SaaS startup,Series F,55000000.0,"San Francisco Bay Area, West Coast, Western US",2020,2011.0,"Accel, Steadview Capital"
Reliance Retail Ventures Ltd,Retail,,70000000000.0,Mumbai,2020,2006.0,"Silver Lake, Mubadala Investment Company"
Winuall,Edtech,,2000000.0,Bangalore,2020,2019.0,"Amit Lakhotia, Akash Gehani"
Genrobotics,AI startup,,300000.0,"Trivandrum, Kerala, India",2020,2015.0,Unicorn India Ventures
Livve,Rental space,Seed,1500000.0,Cochin,2020,2015.0,
Ergos,AgriTech,Series A,5000000.0,"Samastipur, Bihar",2020,2012.0,"Aavishkaar Venture Capital, Chiratae Ventures"
Krishitantra,Soil-Tech,Seed,1000000.0,Hyderabad,2020,2017.0,"NABVENTURES, Omnivore"
PakkaProfile,Recruitment startup,Seed,,Bangalore,2020,2019.0,Java Capital
Monet Networks,AI startup,Bridge,500000.0,"Irvine, California, United States",2020,2014.0,"SenseAI Ventures, EvoNexus"
Unocoin,FinTech,Series A,,"Tumkur, Karnataka",2020,2013.0,"Digital Finance Group, FundersClub"
Pesto,Edtech,,,New Delhi,2020,2017.0,"Sriharsha Majety, Rahul Jaimini"
NirogStreet,Ayurveda tech,Pre-series A,2000000.0,Gurugram,2020,2016.0,"Wavemaker Partners, Subho Ray"
Bambrew,Packaging solution startup,Pre-seed,,Bangalore,2020,2018.0,Upsparks
Omnify,SaaS startup,Pre-series A,,"San Francisco Bay Area, Silicon Valley, West Coast",2020,2016.0,"Saurabh Arora, LD Sharma"
Fanball XI,Gaming,Seed,1000000.0,New Delhi,2020,,Foxhog Ventures
Treebo Hotels,Hospitality,,6000000.0,Bangalore,2020,2015.0,"Ramesh Mangaleswaran, Saikiran Krishnamurthy"
GPS Renewables,Cleantech,Series A,3000000.0,Bangalore,2020,2010.0,"Triodos, Caspian"
Public,Social Media,,30000000.0,New Delhi,2020,2019.0,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners"
Legal Salah,LegalTech,Seed,1000000.0,Kolkata,2020,2015.0,I2I Capitals
FanPlay,Gaming,Seed,,New Delhi,2020,2018.0,"Core91 Fund, Anupam Mittal"
ECOSTP,Sanitation solutions,,19000000.0,Bangalore,2020,2017.0,Terwilliger Centre
Coralogix,SaaS startup,Series B,25000000.0,"San Francisco, California, United States",2020,2013.0,"2B Angels, Janvest Capital Partners"
Equiwatt,Tech company,,300000.0,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",2020,2015.0,Rising Stars
Reliance Retail Ventures,E-commerce,,800000000.0,Mumbai,2020,2006.0,"General Atlantic, Kohlberg Kravis Roberts"
Zhangmen,Edtech,,400000000.0,"Shanghai, China",2020,2005.0,"CICC Alpha, VMS Asset Management"
AgroWave,AgriTech,,500000.0,Gurugram,2020,2017.0,Sekhar Puli
Sapio Analytics,Tech company,,150000.0,Mumbai,2020,2018.0,
Taimei,HealthCare,,176000000.0,"Jiaxing, Zhejiang, China",2020,2013.0,"Cowin Venture, ZSVC"
Avanse Financial Services,FinTech,,15000000.0,Mumbai,2020,2012.0,International Finance Corporation
Industry Buying,E-commerce,,15000000.0,New Delhi,2020,2013.0,"BlackSoil, BEENEXT"
Hopscotch,E-commerce,,25000000.0,Mumbai,2020,2011.0,"Marc Lore, Rise Capital"
Pristyn Care,HealthCare,,11000000.0,Gurugram,2020,2018.0,"Sequoia Capital India, Hummingbird Ventures"
WoodenStreet,Home Design,,1000000.0,Rajastan,2020,2015.0,"IAN Fund, Rajasthan Venture Capital Fund"
ACKO,InsureTech,,60000000.0,Mumbai,2020,2016.0,"RPS Ventures, Intact Ventures"
Farmers Fresh Zone,AgriTech,,470000.0,Kochi,2020,2015.0,"Artha India Ventures, Nagaraja Prakasam"
Invento,AI Startup,,,Bangalore,2020,2016.0,"Chiripal Group, Ratish Kumar Nair"
Infurnia,Tech Startup,,240000.0,Bangalore,2020,2014.0,"Pallav Nadhani, Idein Ventures"
AnalytIQSports's SuperCric,Entertainment,,,Bangalore,2020,2019.0,
Snowflake,Tech company,,3000000000.0,California,2020,2012.0,"Salesforce Ventures, Dragoneer Investment Group"
GenieTalk,Tech company,,750000.0,Indore,2020,2016.0,
Classplus,EdTech,,10000000.0,Noida,2020,2018.0,"Spiral Ventures, Surge"
Mobile Premier League,Entertainment,,74000000.0,Bangalore,2020,2018.0,"Sequoia Capital India, Times Internet"
Fourth Partner Energy,Solar solution,,16000000.0,Hyderabad,2020,2010.0,"responsAbility, Grameen Impact India (GIII)"
Flipkart,E-commerce,,62000000.0,Bangalore,2020,2007.0,"Tencent Holdings, Walmart"
Vivriti Capital,FinTech,,1000000.0,Chennai,2020,2017.0,"Aspada, Creation Investments Capital Management, LLC"
InsuranceDekho,FinTech,,20000000.0,Ludhiana,2020,2017.0,GirnarSoft
BestDoc,HealthCare,,2100000.0,Kochi,2020,2016.0,
Byju’s,EdTech,,500000000.0,Bangalore,2020,2011.0,"Owl Ventures, Tiger Global Management"
Melorra,Jewellery startup,,12500000.0,Bangalore,2020,2015.0,"Jamshed Jeejeebhoy, Symphony International Holdings"
Reliance,Multinational conglomerate company,,2200000000.0,Mumbai,2020,1973.0,"Facebook, Google, KKR, Silver Lake"
Inflexor Ventures,FinTech,,10000000.0,Mumbai,2020,2020.0,
Pandorum,Deeptech startup,,5060000.0,Bangalore,2020,2011.0,"021 Capital, Karnataka Information Technology Venture Capital Fund"
SpeakIn,Social Network,,,Noida,2020,2018.0,Homage Ventures.
LetsUp,Publication,,,Mumbai,2020,2015.0,
Newsreach,Publication,,,Gujarat,2020,2018.0,Mumbai Angels
Dream11,Entertainment,,225000000.0,Mumbai,2020,2008.0,"Steadview Capital, Tencent Holdings"
SignalX,SaaS platform,,750000.0,Hyderabad,2020,2018.0,
JetSynthesys,Tech,,40000000.0,Mumbai,2020,2012.0,"Adar C. Poonawalla, Kris Gopalakrishnan"
Vesta Space Technology,Tech Startup,,10000000.0,Pune,2020,2018.0,
Dozee,HealthTech,,1600000.0,Bangalore,2020,2015.0,
Rebel Foods,Food,,50000000.0,Pune,2020,2011.0,Coatue Management
Nykaa,Fashion,,24700000.0,Mumbai,2020,2012.0,Steadview Capital
Ketto,Finance,,7700000.0,Mumbai,2020,2012.0,"Mumbai Angels, Redcliffe Capital"
Suryoday,Finance,,800000.0,Mumbai,2020,2008.0,"Gaja Capital, Kotak Life, Lok Capital"
SucSEED,Finance,,1300000.0,Hyderabad,2020,2016.0,"DR. Moti Vyas, Udit Goyal"
Unacademy,EdTech,,150000000.0,Bangalore,2020,2015.0,"Nexus Venture Partners, Sequoia Capital"
Strata,Real Estate,,19067328.0,Bangalore,2020,2019.0,"Propstack, SAIF Partners"
3one4 Capital,Venture capital,,100000000.0,Bangalore,2020,2016.0,
WE-Hub,Entreprenurship,,,Hyderabad,2020,2018.0,
Zomato,Food devlivery,,62000000.0,Haryana,2020,2008.0,"MacRitchie Investments, Baillie Gifford"
Vicara,Tech Startup,,,Bangalore,2020,2017.0,
Gaana,Entertainment,,51000000.0,Gurugram,2020,2010.0,"Tencent Holdings, Times Internet"
EM3 Agri,AgriTech,,1000000.0,Noida,2020,2013.0,"Global Innovation Fund, Soros Economic Development Fund"
Plum,Cosmetics,,115000.0,Thane,2020,2013.0,"Ronald Conway, Bay Partners"
Odwen,Warehouse,,54000.0,Noida,2020,2018.0,Prospect Partners.
Fasal,AgriTech,,20000.0,Bangalore,2020,2018.0,"Omnivore, Zeroth.AI"
Trukky,Logistics,,,Ahmedabad,2020,2015.0,Mumbai Angels.
BankBazaar,Online financial service,,9000000.0,Chennai,2020,2008.0,"Ramesh Srinivasan, Amazon"
Specsmakers,Eyeglasses,,3000000.0,Chennai,2020,2011.0,Eight Roads Ventures
Grinntech,Battery design,,2000000.0,Dehradun,2020,2013.0,"Ashok Leyland, V Lakshmi Narayanan"
CreditMantri,Online credit management startup,,803146.0,Chennai,2020,2012.0,"Ranjit Punja, R Sudarshan, Gowri Mukherjee"
Chai Waale,Beverage,,238000.0,Chennai,2020,2018.0,"Gunavanth Vaid, Bharat Kumar Sohanraj"
Deepsync,Tech Startup,,300000.0,Bangalore,2020,2018.0,Venkat Raju
ConnectedH,HealthCare,,,Gurgaon,2020,2016.0,
Reliance Retail,E-commerce,,10220000.0,Mumbai,2020,2006.0,Silver Lake Partners
QShala,EdTech,,300000.0,Bangalore,2020,2014.0,
Pitstop,Car Service,,1020000.0,Bangalore,2020,2015.0,"Clairvest Group, Ontario Centres of Excellence"
Zomato,Food devlivery,,100000000.0,Haryana,2020,2008.0,"MacRitchie Investments, Baillie Gifford"
Customfit ai,SaaS startup,,,Bangalore,2020,2019.0,
Nirmata,Tech,,,San Franciscao,2020,2013.0,"Damien Toledo, Jim Bugwadia, Ritesh Patel"
Hire Me Car,TravelTech,Seed,,Noida,2020,2015.0,US based NRI Investors
Oga Fit,Fitness startup,Pre-series A,,Bangalore,2020,2017.0,"Inflection Point Ventures, Mitesh Shah"
ShipsKart,E-commerce,Pre-series A,200000.0,New Delhi,2020,2018.0,Betatron
SquadStack,Tech company,Series A,5000000.0,San Francisco,2020,2014.0,"Chiratae Ventures, Blume Ventures"
Financepeer,EdTech,Pre-series A,3000000.0,Mumbai,2020,2017.0,"Ravi Sanghvi, PitchRight Venture"
Cashify,E-commerce,Debt,10000000.0,Gurugram,2020,2009.0,"Bessemer Venture Partners, CDH Investments"
Etrio,EV startup,Series A,3000000.0,Hyderabad,2020,2017.0,HNIs
Codeyoung,EdTech,Seed,,Bangalore,2020,2019.0,Guild Capital
StayQrious,EdTech,Seed,2000000.0,Bangalore,2020,2020.0,Y Combinator
Sunstone Eduversity,EdTech,Series A,3000000.0,Gurugram,2020,2014.0,Prime Venture Partners
Infilect,SaaS startup,Pre-series A,1500000.0,Bangalore,2020,2015.0,"Mela Ventures, 1Crowd"
MobiGarage,E-commerce,Pre-series A,,New Delhi,2020,2017.0,
Samunnati,Agriculture,Debt,20000000.0,Chennai,2020,2014.0,"responsAbility, Accel"
WeInnovate Biosolutions,Startup laboratory,Seed,,Pune,2020,2016.0,Chiratae ventures
Yummy Corp,Food Industry,Series B,12000000.0,"Tangerang, Jawa Barat, Indonesia",2020,2017.0,"Palm Drive Capital, Amatil X Ventures"
Smallcase,FinTech,Series B,13400000.0,Bangalore,2020,2015.0,"Sequoia Capital India, Blume Ventures"
Clairvolex,Tech Startup,Debt,2000000.0,California,2020,2006.0,"JF Mauritius SPV, IndusAge Partners"
Assiduus,E-commerce,Series A,1000000.0,Bangalore,2020,,VC Firm K Partners
Brinton,HealthTech,Debt,1300000.0,California,2020,2014.0,"India Alternatives Private Equity Fund, Tata Capital"
AFK Gaming,Entertainment,Pre-series A,200000.0,Mumbai,2020,2012.0,
Infarm,AgriTech,Series C,170000000.0,Berlin,2020,2013.0,"Bonnier Ventures, Hanaco Venture Capital"
Zuper,SaaS startup,Seed,1100000.0,Seattle,2020,2016.0,"Gemba Capital, Gunderson Dettmer"
mCaffeine,Personal care startup,Series B,2900000.0,Mumbai,2020,2015.0,"RPSG Ventures, Amicus Capital"
Origa,FinTech,Debt,2000000.0,Andheri,2020,2013.0,"500 Startups, ah! Ventures"
GullyBuy Software,Tech Startup,Pre-series A,543000.0,Pune,2020,2019.0,
Recordent,FinTech,Seed,,Hyderabad,2020,2019.0,
MPL,Entertainment,Series C,90000000.0,Bangalore,2020,2018.0,"Base Partners, GO Ventures"
Penny,SaaS startup,Seed,1300000.0,Riyadh,2020,2020.0,
Onsitego,Customer service company,Series B,30000000.0,Mumbai,2020,2010.0,"Accel, Zodius Capital"
Precily,SaaS  startup,Seed,,California,2020,2017.0,"Windrose Capital, Anil Advani"
SmartClean,Tech Startup,Pre- series A,3400000.0,Singapore,2020,2017.0,"Seeds Capital, AIM Smart City"
ClanConnect,Marketing startup,Seed,600000.0,Delhi,2020,,
Servify,Service industry,Series C,23000000.0,Mumbai,2020,2015.0,"Blume Ventures, Tetrao"
ShareChat,Social media,Pre-series C,40000000.0,Bangalore,2020,2015.0,"Lightspeed venture partners, saif partners"
Rephrase.ai,AI,Seed,1500000.0,Bangalore,2020,2018.0,"Techstars Bangalore Accelerator, Techstars"
Melorra,Jewellery,Debt,8090000.0,Bangalore,2020,2015.0,"Shadows Holdings, Lightbox"
FabHotels,Hospitality,Series B,1030000.0,Gurugram,2020,2014.0,"RB Investments Pte. Ltd, Goldman Sachs"
EkAnek,Tech Startup,Edge,5040000.0,New Delhi,2020,2018.0,"Lightspeed India Partners, Sequoia Capital India"
Cub McPaws,AR startup,Pre-series A,800000.0,Mumbai,2020,2018.0,Venture Catalysts
Zimyo,HR Tech startup,Seed,1500000.0,Gurgaon,2020,2018.0,"Abhishant Pant, Chiranth Patil"
PumPumPum,Automotive Startup,Debt,360000.0,Gurgaon,2020,2018.0,
Burgerama,Food Startup,Pre-series A,,Gurgaon,2020,2018.0,"Madison, Anicut"
Moms Co,HealthCare,Series B,8000000.0,Gurgaon,2020,2016.0,"DSG Consumer Partners, Saama Capital"
DillyHub,Publication,Seed,1400000.0,Seoul,2020,2018.0,"Kakao Ventures, Shinhan Capital"
FPL Technologies,FinTech,Series A,10000000.0,Pune,2020,2019.0,"Matrix Partners India, Hummingbird Ventures"
FITTR,Fitness startup,Pre-series A,2000000.0,Pune,2020,2016.0,Surge
Illumnus,EdTech Startup,Seed,100000.0,Pune,2020,2018.0,23 High Networth Individuals (HNIs).
CashKaro,E-commerce,Series B,10000000.0,Gurgaon,2020,2012.0,"Ratan Tata, Kalaari Capital"
Newton School,EdTech Startup,Seed,650000.0,Bangalore,2020,2019.0,Nexus Venture Partners
Airmeet,Tech Startup,Series A,12000000.0,Bangalore,2020,2019.0,"Global Founders Capital, Redpoint"
Observe ai,Tech,Series B,54000000.0,San Francisco,2020,2017.0,"01 Advisors, Steadview Capital"
InCred,Finance,Debt,5000000.0,Mumbai,2020,2016.0,"Pushpak Credit, Fiscal"
Toppr,EdTech,Series D,35000000.0,Mumbai,2020,2013.0,"Kaizenvest, Foundation Holdings"
CarTrade,Car Trade,Series H,42500000.0,Mumbai,2020,2009.0,"Pincus, JP Morgan, Temasek, March Capital"
LEAD School,EdtTech,Series C,28000000.0,Mumbai,2020,2012.0,"Westbridge Capital, Elevar Equity"
Servify,Manufacturing,Series C,11370000.0,Mumbai,2020,2015.0,"Blume Ventures, Tetrao"
Lido Learning,EdTech,Series B,7500000.0,Mumbai,2020,2019.0,"BAce Capital, Madhur Deora"
Apna.co,Job portal,Series A,8000000.0,Bangalore,2020,2019.0,"Lightspeed India, Sequoia Capital India"
Quintype Technologies,Tech,Series A,325000.0,Bangalore,2020,2014.0,"IIFL Asset Management, Raghav Bahl"
Dunzo,Tech,Series E,28000000.0,Bangalore,2020,2014.0,"Wes Schwalje, Alteria Capital"
Entropik,AI Platform,Series A,8000000.0,Bangalore,2020,2016.0,"IDFC-Parampara Fund, Bharat Innovation Fund"
Livspace,Home Design,Series D,9000000.0,Bangalore,2020,2014.0,"Mercer Investments, Nicholas Cator"
Ultraviolette Automotive,Automation,Series B,410000.0,Bangalore,2020,2015.0,TVS Motor Company
